Częstotliwość (Hz)	Poziom (dB)
777,886963	-58,992123
780,578613	-57,129066
783,270264	-54,838181
785,961914	-53,330616
788,653564	-54,149734
791,345215	-56,741699
794,036865	-56,495499
796,728516	-54,414185
799,420166	-54,119152
802,111816	-56,056835
804,803467	-55,417259
807,495117	-55,342159
810,186768	-56,604717
812,878418	-56,100548
815,570068	-54,867554
818,261719	-54,178635
820,953369	-53,380249
823,645020	-52,577553
826,336670	-52,101456
829,028320	-51,959965
831,719971	-52,629910
834,411621	-53,595173
837,103271	-54,211559
839,794922	-55,164555
842,486572	-55,817490
845,178223	-55,539391
847,869873	-55,433086
850,561523	-56,689430
853,253174	-58,843452
855,944824	-58,210049
858,636475	-57,044090
861,328125	-58,450035
864,019775	-58,714851
866,711426	-58,265659
869,403076	-56,035004
872,094727	-54,622337
874,786377	-53,307224
877,478027	-52,285061
880,169678	-51,945961
882,861328	-52,436134
885,552979	-54,086708
888,244629	-56,073952
890,936279	-58,205559
893,627930	-60,987499
896,319580	-62,881420
899,011230	-61,029758
901,702881	-59,275715
904,394531	-60,060417
907,086182	-59,718853
909,777832	-59,376606
912,469482	-59,389187
915,161133	-58,976707
917,852783	-59,262211
920,544434	-63,998306
923,236084	-62,482887
925,927734	-60,539036
928,619385	-59,549915
931,311035	-57,194870
934,002686	-56,471615
936,694336	-56,371399
939,385986	-55,553520
942,077637	-55,471958
944,769287	-54,876186
947,460938	-53,856903
950,152588	-53,391514
952,844238	-52,592762
955,535889	-52,321079
958,227539	-52,650848
960,919189	-53,013462
963,610840	-53,739571
966,302490	-54,700245
968,994141	-55,801926
971,685791	-56,927433
974,377441	-58,384514
977,069092	-59,130653
979,760742	-60,523949
982,452393	-61,837158
985,144043	-61,973114
987,835693	-63,184628
990,527344	-64,916222
993,218994	-65,942566
995,910645	-66,065849
998,602295	-63,767620
1001,293945	-61,538998
1003,985596	-59,515221
1006,677246	-58,034115
1009,368896	-57,445431
1012,060547	-57,668812
1014,752197	-58,400097
1017,443848	-59,133949
1020,135498	-59,370243
1022,827148	-58,575714
1025,518799	-59,628410
1028,210449	-59,536083
1030,902100	-59,487713
1033,593750	-61,475220
1036,285400	-63,243298
1038,977051	-62,007328
1041,668701	-61,661171
1044,360352	-61,844776
1047,052002	-62,464867
1049,743652	-63,377304
1052,435303	-64,516174
1055,126953	-64,491982
1057,818604	-65,392494
1060,510254	-68,117973
1063,201904	-69,730179
1065,893555	-70,333466
1068,585205	-68,461761
1071,276855	-68,858688
1073,968506	-69,079376
1076,660156	-71,789665
1079,351807	-66,637230
1082,043457	-68,919312
1084,735107	-73,041473
1087,426758	-72,788124
1090,118408	-74,547592
1092,810059	-75,298355
1095,501709	-73,674210
1098,193359	-72,255501
1100,885010	-73,748169
1103,576660	-75,874489
1106,268311	-77,094048
1108,959961	-78,116249
1111,651611	-77,805145
1114,343262	-77,773659
1117,034912	-77,565994
1119,726563	-74,296913
1122,418213	-72,578011
1125,109863	-73,971870
1127,801514	-73,165985
1130,493164	-70,871170
1133,184814	-69,399345
1135,876465	-70,243065
1138,568115	-71,642456
1141,259766	-71,734116
1143,951416	-71,880112
1146,643066	-73,200706
1149,334717	-74,118507
1152,026367	-74,490219
1154,718018	-73,175308
1157,409668	-72,746887
1160,101318	-73,337181
1162,792969	-72,446571
1165,484619	-71,278381
1168,176270	-70,027374
1170,867920	-71,917603
1173,559570	-71,556732
1176,251221	-69,147163
1178,942871	-69,823868
1181,634521	-70,143501
1184,326172	-69,409271
1187,017822	-69,852081
1189,709473	-71,233612
1192,401123	-70,977890
1195,092773	-71,180916
1197,784424	-71,221649
1200,476074	-72,320229
1203,167725	-72,349541
1205,859375	-73,025307
1208,551025	-74,989273
1211,242676	-75,581085
1213,934326	-75,600433
1216,625977	-77,069824
1219,317627	-77,604065
1222,009277	-75,662514
1224,700928	-75,354660
1227,392578	-76,846153
1230,084229	-77,658493
1232,775879	-77,226173
1235,467529	-75,073425
1238,159180	-73,520241
1240,850830	-73,979080
1243,542480	-75,239632
1246,234131	-74,290298
1248,925781	-73,055756
1251,617432	-73,335854
1254,309082	-73,517235
1257,000732	-75,229965
1259,692383	-73,662689
1262,384033	-71,828514
1265,075684	-71,175644
1267,767334	-72,625168
1270,458984	-74,476730
1273,150635	-73,503075
1275,842285	-73,039200
1278,533936	-73,998344
1281,225586	-74,462669
1283,917236	-73,732224
1286,608887	-74,176300
1289,300537	-74,708389
1291,992188	-72,529526
1294,683838	-68,891052
1297,375488	-67,010231
1300,067139	-65,508209
1302,758789	-65,110985
1305,450439	-65,124443
1308,142090	-63,995544
1310,833740	-62,413685
1313,525391	-62,625275
1316,217041	-63,830429
1318,908691	-65,606224
1321,600342	-67,264839
1324,291992	-68,433609
1326,983643	-69,385017
1329,675293	-70,199173
1332,366943	-70,733269
1335,058594	-68,106354
1337,750244	-67,544975
1340,441895	-68,938271
1343,133545	-70,223434
1345,825195	-68,576561
1348,516846	-68,246323
1351,208496	-68,585938
1353,900146	-67,808228
1356,591797	-67,202980
1359,283447	-67,331772
1361,975098	-66,870918
1364,666748	-67,171249
1367,358398	-68,912849
1370,050049	-67,855736
1372,741699	-66,584579
1375,433350	-66,046860
1378,125000	-67,929985
1380,816650	-67,217888
1383,508301	-64,835693
1386,199951	-66,040169
1388,891602	-64,853371
1391,583252	-64,098885
1394,274902	-64,735130
1396,966553	-66,426453
1399,658203	-66,213959
1402,349854	-63,363117
1405,041504	-62,317982
1407,733154	-62,549919
1410,424805	-61,970222
1413,116455	-61,830074
1415,808105	-61,870682
1418,499756	-62,652176
1421,191406	-63,132683
1423,883057	-62,943623
1426,574707	-61,719883
1429,266357	-60,809917
1431,958008	-61,861649
1434,649658	-63,014320
1437,341309	-63,865318
1440,032959	-66,202286
1442,724609	-66,155739
1445,416260	-65,028687
1448,107910	-64,545914
1450,799561	-63,532860
1453,491211	-63,571861
1456,182861	-64,457619
1458,874512	-65,865364
1461,566162	-66,637100
1464,257813	-67,430679
1466,949463	-67,240875
1469,641113	-68,797295
1472,332764	-69,184204
1475,024414	-66,893547
1477,716064	-67,682274
1480,407715	-65,956467
1483,099365	-64,578773
1485,791016	-63,253155
1488,482666	-64,873222
1491,174316	-63,547138
1493,865967	-61,184441
1496,557617	-61,741486
1499,249268	-64,809601
1501,940918	-65,941605
1504,632568	-65,273941
1507,324219	-67,347702
1510,015869	-68,391060
1512,707520	-65,792816
1515,399170	-64,899574
1518,090820	-64,818520
1520,782471	-64,527519
1523,474121	-64,366318
1526,165771	-65,198654
1528,857422	-66,565903
1531,549072	-67,824203
1534,240723	-65,470238
1536,932373	-66,315880
1539,624023	-67,612183
1542,315674	-68,226204
1545,007324	-67,713333
1547,698975	-66,373940
1550,390625	-65,685944
1553,082275	-64,826775
1555,773926	-62,820763
1558,465576	-61,304379
1561,157227	-61,500938
1563,848877	-63,949650
1566,540527	-64,718689
1569,232178	-61,151398
1571,923828	-58,820309
1574,615479	-58,296047
1577,307129	-57,974110
1579,998779	-58,792599
1582,690430	-59,698055
1585,382080	-57,600159
1588,073730	-56,838417
1590,765381	-58,175697
1593,457031	-59,233456
1596,148682	-60,291069
1598,840332	-62,528236
1601,531982	-61,163498
1604,223633	-60,662251
1606,915283	-60,459736
1609,606934	-60,261108
1612,298584	-60,696842
1614,990234	-62,658787
1617,681885	-64,127266
1620,373535	-63,417480
1623,065186	-62,049793
1625,756836	-59,590282
1628,448486	-55,841091
1631,140137	-54,577381
1633,831787	-56,692543
1636,523438	-56,525688
1639,215088	-57,213890
1641,906738	-60,058640
1644,598389	-55,511417
1647,290039	-57,113876
1649,981689	-60,753723
1652,673340	-59,635124
1655,364990	-56,184818
1658,056641	-55,109505
1660,748291	-59,666908
1663,439941	-61,849236
1666,131592	-62,709404
1668,823242	-61,619648
1671,514893	-59,085918
1674,206543	-59,276012
1676,898193	-60,341526
1679,589844	-60,270145
1682,281494	-57,588562
1684,973145	-61,010910
1687,664795	-60,133881
1690,356445	-58,646873
1693,048096	-56,889854
1695,739746	-55,910320
1698,431396	-58,444977
1701,123047	-60,378819
1703,814697	-60,977108
1706,506348	-60,573906
1709,197998	-59,736324
1711,889648	-63,722160
1714,581299	-64,822273
1717,272949	-61,711300
1719,964600	-62,403362
1722,656250	-62,862869
1725,347900	-62,852341
1728,039551	-60,837925
1730,731201	-60,217396
1733,422852	-61,152687
1736,114502	-59,438969
1738,806152	-60,334644
1741,497803	-64,684357
1744,189453	-63,127350
1746,881104	-62,849308
1749,572754	-62,187279
1752,264404	-63,570377
1754,956055	-61,456608
1757,647705	-63,241249
1760,339355	-61,517666
1763,031006	-60,606365
1765,722656	-63,723251
1768,414307	-65,257904
1771,105957	-63,645622
1773,797607	-63,594746
1776,489258	-63,090210
1779,180908	-63,586739
1781,872559	-61,696106
1784,564209	-60,392456
1787,255859	-62,451263
1789,947510	-62,626865
1792,639160	-62,321362
1795,330811	-62,380516
1798,022461	-62,790009
1800,714111	-64,127068
1803,405762	-65,017166
1806,097412	-64,417839
1808,789063	-63,828484
1811,480713	-63,096813
1814,172363	-63,390530
1816,864014	-66,544952
1819,555664	-64,971245
1822,247314	-64,022400
1824,938965	-64,195267
1827,630615	-62,256027
1830,322266	-62,337013
1833,013916	-62,827808
1835,705566	-61,680882
1838,397217	-62,828415
1841,088867	-63,379055
1843,780518	-64,333138
1846,472168	-63,353241
1849,163818	-63,629517
1851,855469	-66,290161
1854,547119	-66,258263
1857,238770	-65,307755
1859,930420	-65,850311
1862,622070	-64,689659
1865,313721	-62,939285
1868,005371	-64,862343
1870,697021	-63,829769
1873,388672	-64,043007
1876,080322	-65,346268
1878,771973	-65,007439
1881,463623	-65,144348
1884,155273	-65,346039
1886,846924	-65,865265
1889,538574	-66,858131
1892,230225	-65,886749
1894,921875	-65,045319
1897,613525	-65,259583
1900,305176	-65,307396
1902,996826	-65,299156
1905,688477	-65,496941
1908,380127	-66,271652
1911,071777	-67,395378
1913,763428	-68,598015
1916,455078	-67,179092
1919,146729	-68,038475
1921,838379	-69,797592
1924,530029	-69,389946
1927,221680	-68,496948
1929,913330	-68,708626
1932,604980	-67,807251
1935,296631	-69,952980
1937,988281	-70,267212
1940,679932	-71,070053
1943,371582	-72,367760
1946,063232	-73,864761
1948,754883	-70,188622
1951,446533	-71,334732
1954,138184	-73,130219
1956,829834	-72,519913
1959,521484	-72,869499
1962,213135	-71,633240
1964,904785	-72,569092
1967,596436	-68,696075
1970,288086	-68,364021
1972,979736	-71,055893
1975,671387	-72,182709
1978,363037	-72,025200
1981,054688	-72,233543
1983,746338	-74,117760
1986,437988	-72,459297
1989,129639	-71,156395
1991,821289	-72,815865
1994,512939	-70,186821
1997,204590	-69,118660
1999,896240	-68,123039
2002,587891	-68,312119
2005,279541	-69,567451
2007,971191	-71,152878
2010,662842	-71,343285
2013,354492	-70,402443
2016,046143	-69,783157
2018,737793	-70,111839
2021,429443	-70,913200
2024,121094	-74,137695
2026,812744	-75,216148
2029,504395	-74,030846
2032,196045	-74,571159
2034,887695	-74,843498
2037,579346	-75,192024
2040,270996	-73,243324
2042,962646	-72,440613
2045,654297	-73,549461
2048,345947	-71,757973
2051,037598	-71,402023
2053,729248	-73,149719
2056,420898	-74,185188
2059,112549	-73,614746
2061,804199	-71,509613
2064,495850	-72,887947
2067,187500	-72,929832
2069,879150	-72,742683
2072,570801	-71,903328
2075,262451	-74,713531
2077,954102	-75,535248
2080,645752	-74,243492
2083,337402	-76,040291
2086,029053	-77,318909
2088,720703	-78,586838
2091,412354	-77,524612
2094,104004	-77,411324
2096,795654	-78,185951
2099,487305	-77,387100
2102,178955	-76,875015
2104,870605	-76,315086
2107,562256	-74,730682
2110,253906	-75,000900
2112,945557	-76,696350
2115,637207	-75,834610
2118,328857	-77,336037
2121,020508	-78,759789
2123,712158	-75,808769
2126,403809	-72,570381
2129,095459	-72,639503
2131,787109	-73,955505
2134,478760	-75,475937
2137,170410	-76,702164
2139,862061	-77,704010
2142,553711	-75,302811
2145,245361	-75,562653
2147,937012	-76,141579
2150,628662	-73,234848
2153,320313	-73,214264
2156,011963	-76,642387
2158,703613	-77,024651
2161,395264	-76,731186
2164,086914	-77,551819
2166,778564	-76,649078
2169,470215	-77,447968
2172,161865	-76,627190
2174,853516	-72,682030
2177,545166	-71,322556
2180,236816	-72,247231
2182,928467	-70,430412
2185,620117	-68,816116
2188,311768	-71,206924
2191,003418	-74,481262
2193,695068	-75,487923
2196,386719	-71,096886
2199,078369	-69,788742
2201,770020	-70,166191
2204,461670	-71,322914
2207,153320	-71,026825
2209,844971	-74,314674
2212,536621	-73,005653
2215,228271	-72,468834
2217,919922	-73,128632
2220,611572	-73,021355
2223,303223	-70,040947
2225,994873	-70,121452
2228,686523	-71,093735
2231,378174	-71,159294
2234,069824	-71,101517
2236,761475	-70,527222
2239,453125	-71,900650
2242,144775	-72,914719
2244,836426	-72,004356
2247,528076	-71,471817
2250,219727	-68,111031
2252,911377	-68,706299
2255,603027	-69,583794
2258,294678	-69,523407
2260,986328	-67,909248
2263,677979	-67,433052
2266,369629	-68,456802
2269,061279	-68,863197
2271,752930	-68,293610
2274,444580	-67,425827
2277,136230	-65,882912
2279,827881	-66,393105
2282,519531	-65,948189
2285,211182	-65,453529
2287,902832	-65,039467
2290,594482	-65,267853
2293,286133	-64,234177
2295,977783	-65,138184
2298,669434	-66,955269
2301,361084	-66,474495
2304,052734	-67,651459
2306,744385	-68,698959
2309,436035	-67,256935
2312,127686	-66,491280
2314,819336	-66,034912
2317,510986	-65,707298
2320,202637	-67,444221
2322,894287	-66,936646
2325,585938	-66,921181
2328,277588	-68,669243
2330,969238	-65,968529
2333,660889	-65,336121
2336,352539	-66,050148
2339,044189	-67,599030
2341,735840	-67,224022
2344,427490	-68,069557
2347,119141	-66,690453
2349,810791	-65,478256
2352,502441	-63,964329
2355,194092	-61,530716
2357,885742	-60,994453
2360,577393	-61,409435
2363,269043	-64,138466
2365,960693	-65,975464
2368,652344	-61,530148
2371,343994	-61,575871
2374,035645	-60,790581
2376,727295	-59,504520
2379,418945	-58,693829
2382,110596	-57,951954
2384,802246	-58,109985
2387,493896	-59,055359
2390,185547	-60,433029
2392,877197	-60,555325
2395,568848	-60,531967
2398,260498	-61,205021
2400,952148	-61,479340
