Częstotliwość (Hz)	Poziom (dB)
388,943481	-50,454773
390,289307	-49,083645
391,635132	-51,511543
392,980957	-63,879002
394,326782	-50,751095
395,672607	-49,776901
397,018433	-60,039646
398,364258	-59,508587
399,710083	-55,445835
401,055908	-53,400890
402,401733	-52,578850
403,747559	-48,695194
405,093384	-52,616817
406,439209	-50,898865
407,785034	-47,839115
409,130859	-47,288319
410,476685	-45,696323
411,822510	-46,412994
413,168335	-50,245121
414,514160	-54,154709
415,859985	-53,660820
417,205811	-50,200569
418,551636	-48,433453
419,897461	-48,569099
421,243286	-54,098045
422,589111	-51,261292
423,934937	-49,988239
425,280762	-46,614769
426,626587	-48,620678
427,972412	-51,802380
429,318237	-50,121902
430,664063	-45,131504
432,009888	-43,588837
433,355713	-44,184971
434,701538	-42,212040
436,047363	-42,416397
437,393188	-42,191296
438,739014	-41,451607
440,084839	-43,217964
441,430664	-44,658001
442,776489	-41,978893
444,122314	-40,589966
445,468140	-39,416279
446,813965	-39,082184
448,159790	-42,395836
449,505615	-46,446316
450,851440	-42,051048
452,197266	-38,838665
453,543091	-39,952995
454,888916	-40,447777
456,234741	-36,001049
457,580566	-40,385578
458,926392	-47,605385
460,272217	-41,513493
461,618042	-38,183212
462,963867	-40,054142
464,309692	-34,322411
465,655518	-40,503185
467,001343	-41,253460
468,347168	-44,977058
469,692993	-43,726898
471,038818	-41,241013
472,384644	-35,186756
473,730469	-54,546314
475,076294	-44,228657
476,422119	-41,103680
477,767944	-45,639797
479,113770	-44,007496
480,459595	-42,737484
481,805420	-47,816849
483,151245	-45,901623
484,497070	-44,113384
485,842896	-44,021587
487,188721	-47,513462
488,534546	-48,604870
489,880371	-44,203072
491,226196	-48,134079
492,572021	-47,653866
493,917847	-46,889030
495,263672	-55,567863
496,609497	-49,322411
497,955322	-45,866543
499,301147	-48,794285
500,646973	-47,951744
501,992798	-47,017765
503,338623	-50,896030
504,684448	-49,856457
506,030273	-48,176563
507,376099	-52,263039
508,721924	-50,194237
510,067749	-46,449871
511,413574	-47,519783
512,759399	-48,951157
514,105225	-47,748230
515,451050	-51,140026
516,796875	-50,900284
518,142700	-46,975559
519,488525	-48,003361
520,834351	-46,426170
522,180176	-45,334091
523,526001	-47,982731
524,871826	-47,830105
526,217651	-45,459122
527,563477	-45,994015
528,909302	-47,184433
530,255127	-48,266766
531,600952	-49,206585
532,946777	-47,978622
534,292603	-47,463936
535,638428	-50,606441
536,984253	-52,134991
538,330078	-48,122402
539,675903	-48,614532
541,021729	-52,931656
542,367554	-48,932999
543,713379	-45,680737
545,059204	-44,427341
546,405029	-42,964729
547,750854	-44,986233
549,096680	-48,331188
550,442505	-48,340172
551,788330	-48,102867
553,134155	-45,543648
554,479980	-42,453411
555,825806	-41,414330
557,171631	-40,259544
558,517456	-42,189545
559,863281	-49,584248
561,209106	-51,422180
562,554932	-43,478569
563,900757	-42,579483
565,246582	-43,360474
566,592407	-43,148552
567,938232	-43,053398
569,284058	-45,186611
570,629883	-60,209324
571,975708	-46,344730
573,321533	-41,659550
574,667358	-40,130825
576,013184	-43,307163
577,359009	-50,389900
578,704834	-46,654972
580,050659	-49,871593
581,396484	-61,263050
582,742310	-44,076721
584,088135	-39,999126
585,433960	-42,280220
586,779785	-52,703453
588,125610	-46,957737
589,471436	-40,202961
590,817261	-44,874039
592,163086	-44,463528
593,508911	-38,899384
594,854736	-39,706047
596,200562	-43,554775
597,546387	-44,478439
598,892212	-40,910870
600,238037	-45,214546
601,583862	-47,417061
602,929688	-43,002514
604,275513	-43,895618
605,621338	-53,934792
606,967163	-46,089725
608,312988	-46,477222
609,658813	-53,015053
611,004639	-50,123489
612,350464	-47,095898
613,696289	-52,600693
615,042114	-64,394730
616,387939	-52,050041
617,733765	-56,321590
619,079590	-61,248398
620,425415	-53,591663
621,771240	-54,361122
623,117065	-59,317272
624,462891	-57,619888
625,808716	-60,130337
627,154541	-71,074669
628,500366	-64,320251
629,846191	-65,552444
631,192017	-69,863243
632,537842	-59,484806
633,883667	-55,933136
635,229492	-56,450497
636,575317	-60,119488
637,921143	-63,154644
639,266968	-62,318096
640,612793	-59,203526
641,958618	-62,735466
643,304443	-69,868141
644,650269	-59,863293
645,996094	-58,177357
647,341919	-57,431629
648,687744	-58,424980
650,033569	-59,111179
651,379395	-57,671822
652,725220	-59,550499
654,071045	-62,504627
655,416870	-62,236042
656,762695	-57,672783
658,108521	-57,762108
659,454346	-58,364063
660,800171	-62,890972
662,145996	-65,657501
663,491821	-76,775131
664,837646	-71,407646
666,183472	-61,980095
667,529297	-62,633003
668,875122	-62,733925
670,220947	-58,486629
671,566772	-59,314453
672,912598	-55,024910
674,258423	-68,249725
675,604248	-59,094509
676,950073	-52,975040
678,295898	-51,338108
679,641724	-54,113678
680,987549	-60,501225
682,333374	-57,326199
683,679199	-57,208515
685,025024	-65,404457
686,370850	-53,744781
687,716675	-47,991707
689,062500	-48,666977
690,408325	-51,681496
691,754150	-55,766365
693,099976	-51,297688
694,445801	-51,702389
695,791626	-62,972229
697,137451	-55,103157
698,483276	-47,660645
699,829102	-49,205490
701,174927	-49,832397
702,520752	-49,786564
703,866577	-47,716827
705,212402	-53,669106
706,558228	-57,284832
707,904053	-48,348293
709,249878	-51,340618
710,595703	-53,278263
711,941528	-53,598225
713,287354	-54,649357
714,633179	-52,930618
715,979004	-52,587360
717,324829	-54,871925
718,670654	-58,853977
720,016479	-56,116413
721,362305	-57,497478
722,708130	-53,618290
724,053955	-56,484680
725,399780	-57,345013
726,745605	-63,585365
728,091431	-58,750683
729,437256	-60,192314
730,783081	-63,052330
732,128906	-63,561775
733,474731	-56,460526
734,820557	-59,182167
736,166382	-63,589382
737,512207	-62,584450
738,858032	-65,507072
740,203857	-66,599472
741,549683	-66,413635
742,895508	-63,096184
744,241333	-62,572544
745,587158	-64,497772
746,932983	-64,215599
748,278809	-71,856064
749,624634	-67,197662
750,970459	-65,511337
752,316284	-63,560570
753,662109	-65,457649
755,007935	-61,487663
756,353760	-63,875111
757,699585	-69,541573
759,045410	-60,212696
760,391235	-61,893204
761,737061	-65,831177
763,082886	-65,819099
764,428711	-65,789063
765,774536	-65,705673
767,120361	-67,168915
768,466187	-67,540482
769,812012	-62,226673
771,157837	-63,981991
772,503662	-63,202236
773,849487	-71,608131
775,195313	-71,146111
776,541138	-66,259293
777,886963	-62,490944
779,232788	-64,673058
780,578613	-61,539307
781,924438	-65,259209
783,270264	-70,204681
784,616089	-65,407166
785,961914	-61,677391
787,307739	-58,464809
788,653564	-54,074455
789,999390	-55,255463
791,345215	-57,602432
792,691040	-68,432518
794,036865	-62,440586
795,382690	-57,469719
796,728516	-56,316818
798,074341	-57,584473
799,420166	-55,014050
800,765991	-53,971924
802,111816	-59,991016
803,457642	-66,910294
804,803467	-54,342762
806,149292	-52,640057
807,495117	-54,310192
808,840942	-59,476585
810,186768	-67,322044
811,532593	-60,947380
812,878418	-62,204063
814,224243	-60,362984
815,570068	-58,147491
816,915894	-52,342899
818,261719	-59,365761
819,607544	-61,404366
820,953369	-58,192047
822,299194	-57,866566
823,645020	-57,769768
824,990845	-57,709888
826,336670	-55,558235
827,682495	-55,789394
829,028320	-60,122635
830,374146	-60,375771
831,719971	-58,637684
833,065796	-65,060555
834,411621	-64,895477
835,757446	-61,206196
837,103271	-61,761456
838,449097	-68,110176
839,794922	-62,338383
841,140747	-68,174255
842,486572	-66,897835
843,832397	-67,314034
845,178223	-61,449402
846,524048	-70,634720
847,869873	-64,237846
849,215698	-68,835716
850,561523	-87,070709
851,907349	-68,950905
853,253174	-80,959496
854,598999	-77,041908
855,944824	-77,028160
857,290649	-72,382271
858,636475	-69,035751
859,982300	-69,408646
861,328125	-69,383781
862,673950	-75,357124
864,019775	-73,104210
865,365601	-69,599167
866,711426	-73,107918
868,057251	-70,427917
869,403076	-70,401489
870,748901	-72,307220
872,094727	-68,747887
873,440552	-69,079185
874,786377	-75,497177
876,132202	-73,000305
877,478027	-82,517761
878,823853	-71,850517
880,169678	-70,877716
881,515503	-68,778419
882,861328	-68,929153
884,207153	-71,724159
885,552979	-73,186584
886,898804	-70,776581
888,244629	-72,297836
889,590454	-67,166161
890,936279	-65,468941
892,282104	-84,408607
893,627930	-75,524773
894,973755	-69,481209
896,319580	-66,290146
897,665405	-63,786388
899,011230	-60,455059
900,357056	-57,095566
901,702881	-58,792419
903,048706	-63,292362
904,394531	-64,767258
905,740356	-60,040951
907,086182	-60,045067
908,432007	-56,477264
909,777832	-57,329266
911,123657	-60,567490
912,469482	-60,105999
913,815308	-61,791077
915,161133	-62,801113
916,506958	-58,842094
917,852783	-56,461250
919,198608	-58,354080
920,544434	-64,412125
921,890259	-72,172112
923,236084	-59,707172
924,581909	-63,915565
925,927734	-59,857483
927,273560	-59,620209
928,619385	-60,403305
929,965210	-56,349922
931,311035	-59,063377
932,656860	-60,569019
934,002686	-55,756012
935,348511	-63,076374
936,694336	-64,862747
938,040161	-60,221264
939,385986	-60,037327
940,731812	-56,275635
942,077637	-65,770081
943,423462	-61,451687
944,769287	-57,430882
946,115112	-61,335716
947,460938	-61,698074
948,806763	-59,164898
950,152588	-62,824024
951,498413	-64,748756
952,844238	-62,651672
954,190063	-59,408493
955,535889	-65,802368
956,881714	-63,182358
958,227539	-64,483337
959,573364	-63,292042
960,919189	-68,425079
962,265015	-64,654137
963,610840	-67,181335
964,956665	-68,123260
966,302490	-66,763702
967,648315	-66,266922
968,994141	-74,555267
970,339966	-68,000137
971,685791	-93,593452
973,031616	-71,963081
974,377441	-70,932678
975,723267	-71,376366
977,069092	-82,593323
978,414917	-75,773102
979,760742	-71,038658
981,106567	-69,224953
982,452393	-77,168221
983,798218	-74,167862
985,144043	-70,269272
986,489868	-79,951042
987,835693	-82,739708
989,181519	-67,862625
990,527344	-68,857681
991,873169	-67,591789
993,218994	-69,483902
994,564819	-76,418785
995,910645	-71,864052
997,256470	-76,771614
998,602295	-72,869621
999,948120	-72,333916
1001,293945	-70,561554
1002,639771	-67,108574
1003,985596	-85,314636
1005,331421	-79,024422
1006,677246	-72,569603
1008,023071	-69,262131
1009,368896	-75,080788
1010,714722	-67,072289
1012,060547	-62,525135
1013,406372	-61,767265
1014,752197	-61,722885
1016,098022	-73,555717
1017,443848	-77,275131
1018,789673	-64,522148
1020,135498	-59,256775
1021,481323	-59,208710
1022,827148	-57,729488
1024,172974	-61,208973
1025,518799	-64,151123
1026,864624	-72,883568
1028,210449	-59,908943
1029,556274	-57,983067
1030,902100	-55,809288
1032,247925	-58,182987
1033,593750	-66,289085
1034,939575	-63,434402
1036,285400	-61,006470
1037,631226	-60,100201
1038,977051	-61,312481
1040,322876	-75,086449
1041,668701	-67,583817
1043,014526	-59,379086
1044,360352	-62,241882
1045,706177	-64,775909
1047,052002	-67,012100
1048,397827	-66,106934
1049,743652	-67,578644
1051,089478	-73,583458
1052,435303	-67,669075
1053,781128	-66,438675
1055,126953	-68,675804
1056,472778	-74,031128
1057,818604	-78,470139
1059,164429	-73,665321
1060,510254	-74,032425
1061,856079	-78,218224
1063,201904	-72,722458
1064,547729	-80,954758
1065,893555	-84,344139
1067,239380	-80,102623
1068,585205	-79,456612
1069,931030	-84,433044
1071,276855	-77,864021
1072,622681	-78,437408
1073,968506	-76,490898
1075,314331	-75,738152
1076,660156	-77,634331
1078,005981	-76,366852
1079,351807	-66,885757
1080,697632	-68,143456
1082,043457	-84,375603
1083,389282	-77,983475
1084,735107	-81,695633
1086,080933	-86,470993
1087,426758	-80,053123
1088,772583	-86,710579
1090,118408	-88,759010
1091,464233	-83,932922
1092,810059	-86,621147
1094,155884	-89,082321
1095,501709	-84,796066
1096,847534	-89,579956
1098,193359	-81,292641
1099,539185	-81,973587
1100,885010	-84,780144
1102,230835	-83,105148
1103,576660	-81,240509
1104,922485	-89,458252
1106,268311	-80,971268
1107,614136	-91,703300
1108,959961	-77,745903
1110,305786	-82,116066
1111,651611	-87,160004
1112,997437	-84,829559
1114,343262	-84,644653
1115,689087	-91,932991
1117,034912	-80,825729
1118,380737	-82,442337
1119,726563	-81,535637
1121,072388	-78,027679
1122,418213	-84,379211
1123,764038	-84,321068
1125,109863	-83,449806
1126,455688	-83,315849
1127,801514	-81,989929
1129,147339	-80,146866
1130,493164	-76,175926
1131,838989	-76,099075
1133,184814	-82,727386
1134,530640	-85,751144
1135,876465	-82,321129
1137,222290	-92,324875
1138,568115	-77,362640
1139,913940	-74,215515
1141,259766	-73,179192
1142,605591	-74,079803
1143,951416	-72,479050
1145,297241	-72,398979
1146,643066	-79,795799
1147,988892	-77,059868
1149,334717	-72,912697
1150,680542	-73,537498
1152,026367	-80,794113
1153,372192	-88,892578
1154,718018	-75,582108
1156,063843	-82,905968
1157,409668	-75,125465
1158,755493	-81,754501
1160,101318	-78,186417
1161,447144	-79,513481
1162,792969	-84,081795
1164,138794	-79,504799
1165,484619	-76,674362
1166,830444	-80,035934
1168,176270	-72,773140
